Status,Id,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id
,25,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.4,0.3,0.3,0.5,0.2,0.4
1,38,0,0,0,0,0,1,1,1,0,0.3,0.4,0.2,0.4,0.3,0.2,0.1,0.2,0.1
1,53,0,0,0,0,0,1,1,1,0,0.3,0.3,0.3,0.5,0.3,0.4,0.5,0.2,0.4
0,61,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,70,0,0,0,0,0,1,1,1,0,0.3,0.6,0.2,0.4,0.3,0.2,0.5,0.2,0.4
1,79,0,0,0,0,0,1,1,0,1,0.3,0.4,0.4,0.3,0.2,0.2,0.1,0.3,0.1
0,100,0,0,0,0,0,1,1,0,0,0.3,0.6,0.2,0.6,0.3,0.3,0.5,0.2,0.4
,140,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.2,0.2,0.2,0.1,0.3,0.1
1,164,0,0,0,0,0,1,1,1,0,0.3,0.5,0.3,0.3,0.3,0.2,0.1,0.2,0.1
0,199,0,0,0,0,0,1,1,1,1,0.3,0.3,0.4,0.3,0.2,0.4,0.5,0.2,0.4
0,231,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.4,0.3,0.2,0.1,0.2,0.1
0,249,0,0,0,0,0,1,1,1,1,0.3,0.6,0.2,0.5,0.4,0.4,0.1,0.2,0.1
0,250,0,0,0,0,0,0,0,0,0,0.3,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.3
1,265,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.3,0.2,0.3,0.5,0.3,0.4
,319,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.3
,329,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,361,0,0,0,0,0,1,1,1,1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.3
,396,0,1,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.2,0.4
0,421,0,0,0,0,0,1,1,1,0,0.3,0.5,0.2,0.3,0.2,0.4,0.5,0.3,0.4
1,453,0,0,0,0,0,1,1,0,0,0.3,0.4,0.2,0.3,0.3,0.3,0.5,0.2,0.4
1,463,0,0,0,0,0,1,1,1,0,0.3,0.3,0.3,0.3,0.2,0.4,0.5,0.2,0.4
1,468,0,0,0,0,0,1,1,0,0,0.4,0.6,0.2,0.3,0.4,0.4,0.5,0.2,0.4
1,519,0,0,0,0,0,1,1,1,0,0.3,0.6,0.4,0.2,0.2,0.3,0.1,0.2,0.1
,594,0,0,0,0,0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1
,611,0,0,0,0,0,1,1,0,0,0.3,0.1,0.2,0.1,0.1,0.3,0.1,0.1,0.1
,613,0,0,0,0,0,0,0,0,0,0.4,0.6,0.5,0.2,0.2,0.2,0.1,0.2,0.1
,628,0,0,0,0,0,1,0,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1
,665,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
,686,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.3,0.2,0.5,0.3,0.4
0,705,0,0,0,0,0,1,1,1,0,0.3,0.3,0.2,0.4,0.3,0.4,0.1,0.2,0.1
,713,0,0,0,0,0,0,0,0,0,0.3,0.6,0.2,0.3,0.3,0.3,0.1,0.2,0.1
,728,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.2,0.1
,793,0,0,0,0,0,1,1,1,0,0.3,0.2,0.2,0.3,0.3,0.2,0.5,0.2,0.4
,816,0,0,0,0,0,1,0,0,1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
